family,cells,supported,partial,weak,mean_fusion,mean_policy_support,mean_actionability
AUTHORITY,7,4,3,0,0.658741135368756,0.5714285714285714,0.8071428571428572
COMPLIANCE,7,4,3,0,0.5717299316484982,0.6785714285714286,0.9
ESCALATION,7,6,1,0,0.69719470638317,0.8809523809523808,0.9857142857142858
EXCEEDS,7,5,2,0,0.7033127971529158,0.7738095238095237,0.8714285714285713
EXPLAINABLE,7,4,3,0,0.607345855138817,0.8452380952380952,0.7535714285714287
GOVERNANCE,7,4,3,0,0.5620005157842151,0.75,0.8357142857142856
